"id","url","nama","alamat","daerah","latitude","longitude","jenis","mula","hingga","geocoder_address","geocoder_longitude","geocoder_latitude","geocoder_location_type","last_update"
1,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IkdWRXRtdCsybHBmb3dUUlJJeW1WNmc9PSIsInZhbHVlIjoiMjRHU0llRjA5T1poeElNV25wNXRVQT09IiwibWFjIjoiYzI5Mzk1MDhjNWZlNWEzMTU4ZWQ4ODNiZWNjNGU0Y2ExNDJjNzdlZWQyZjQzZjU3MDMwZWFjYWJlZjAwNGEwOSIsInRhZyI6IiJ9","CHAPAYOM","S-G-38, Maxim Citylights Sentul, No. 25, Jalan Sentul Perdana","WP Kuala Lumpur W.P Kuala Lumpur",,,"Restoran / Kafe","17 Feb Hingga","23 Mar 2023","25, Jln Sentul Pasar, Setapak, 51000 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",101.6906405,3.2070758,"ROOFTOP","2023-02-18 16:24:23"
2,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6ImdqSnRKMUpUVE1vQkpLY3BpVGtOQ0E9PSIsInZhbHVlIjoidDVuT1FmWEFHSktNbzN4T0o3ZUlkQT09IiwibWFjIjoiZWY3MWUxZGE3ZGFkMmI5M2ZlODRlNDc5NDI3ODY0Mzg0MTNiZTcxOThiMjVlMTNlZTYxNmIzMTRjZDhkZDkzZSIsInRhZyI6IiJ9","Restoran The Kampong Cili Padi","NO 38, G-1, JALAN MEDAN PB 1, SEKSYEN 9, 43650 BANDAR BARU BANGI, SELANGOR DARUL EHSAN","Hulu Langat Selangor",,,"Restoran / Kafe","17 Feb Hingga","17 May 2023","No. 38, G-1, Jalan Medan Pb 1, Seksyen 9, 43650 Bandar Baru Bangi, Selangor, Malaysia",101.7538567,2.9599717,"ROOFTOP","2023-02-18 16:24:16"
3,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6ImdnWU1iQXlHWE52Qm53OENOQlRScFE9PSIsInZhbHVlIjoiSnpJZUE1NnZld28wWVRPNWtDb2lzUT09IiwibWFjIjoiMjYyZGNmYjk0ZWU4OGJmZmQxYmU5YjI5NTgwZWRjZTcwOTEwMzYzMTBmMWQ4ZTYxNjE5ZmU0MGJkYzhiOTI0ZiIsInRhZyI6IiJ9","Mydin Wholesale Hypermarket","Foodcourt Mydin Subang Jaya","Petaling Selangor",,,"Medan Selera / Gerai","17 Feb Hingga","17 Feb 2023","675;676, Persiaran Subang Permai, Taman Perindustrian Usj 1, 47500 Subang Jaya, Selangor, Malaysia",101.5964479,3.0588809,"ROOFTOP","2023-02-18 16:24:26"
4,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IlMyTldhRGhDNzNDMENwSGxrNHpDRWc9PSIsInZhbHVlIjoiZjFTNk4yZzdiRDhzeUpqTEs4Tmdvdz09IiwibWFjIjoiNWU4ZmY3ZTg0ODEyODUwZThmNTc1ODkzOWIxNzZiYTkyODFjODgzNGZmYTg3MmU4ZjUyOTBkYWRmNGZhODJhYyIsInRhZyI6IiJ9","Mydin Wholesale Hypermarket","Taman Anggerik Perdana, Semenyih","Hulu Langat Selangor",,,"Medan Selera / Gerai","17 Feb Hingga","17 Feb 2023","Bandar Teknologi Kajang, 43500 Semenyih, Selangor, Malaysia",101.8230194,2.9723777,"GEOMETRIC_CENTER","2023-02-18 16:24:11"
5,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IjFXTlVpV2s1bmRqNmxyK1Y5MGlXTmc9PSIsInZhbHVlIjoiWitnMmVVaHM2cDJPMkd1eGluSVQ3UT09IiwibWFjIjoiZDk2MzRiMjdkMTg5YTAwNzI1YzM4YWE3YjE0OTc0ZGVhM2VlZTljN2MxNzQwN2Y5MTQ0YWMxNGZhNGRjYzQ4YyIsInRhZyI6IiJ9","Rangkaian Restoran Ali Maju","Charterfield","Sepang Selangor",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Wisma Charterfield, Jalan KLIA 1/60, 43900 Sepang, Malaysia",101.6965685,2.7692058,"ROOFTOP","2023-02-18 16:24:10"
6,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IkJmOC90U3kyU291c05OMDFRY0FFclE9PSIsInZhbHVlIjoiVmhhUXozUnphNzZKeDk0czVncDVGUT09IiwibWFjIjoiYWI3N2IzOTk3MTQ4Zjk5YzFhZjk1MWIzYjhmY2Y2NjA2NTVmNzIwMjc5ZjI5MzgwODhjNDQ4Nzc4MTlkOTMwNSIsInRhZyI6IiJ9","Rangkaian Restoran Ali Maju","Rawang Reef","Gombak Selangor",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","The Reef Rawang, 48000 Rawang, Selangor, Malaysia",101.5962258,3.3032866,"APPROXIMATE","2023-02-18 16:24:27"
7,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IlYvRTlGa2c1d3cwdXlNRGwvVXF4VkE9PSIsInZhbHVlIjoiZk5yWERabWZGdUFpSFYrSnBOazFSZz09IiwibWFjIjoiNzc1NmIwOGJjOTRjMGU4OWM4OWYwMTA2ZWMzODBkZjRhMTBmZjYyZjkxZDRiMWVhMDllYzY3NzRjZTA2NDAxZCIsInRhZyI6IiJ9","Rangkaian Restoran Ali Maju","Ukay Perdana","Hulu Langat Selangor",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Ukay Perdana, 68000 Ampang Jaya, Selangor, Malaysia",101.777418,3.205666,"APPROXIMATE","2023-02-18 16:24:30"
8,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6Ik5OM2pSS1BMUUlVbU5INnZ5WTM1NlE9PSIsInZhbHVlIjoiWi9Jck85QW1Va3ZSNkVRVHdJaHZNUT09IiwibWFjIjoiM2NhMTVlMzQ2MGY0NGI1MmJiZTE5MjIzM2VjNDQ1OGYyYmE0MjVhOGEzMjU3Y2IyYjc2MTJmMjQ5YjYzNTNjZiIsInRhZyI6IiJ9","Rangkaian Restoran Ali Maju","Jalan Bandar Rawang","Gombak Selangor",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","43-45, Jalan Bandar Rawang 2, Pusat Bandar Rawang, 48000 Rawang, Selangor, Malaysia",101.5770636,3.3237861,"ROOFTOP","2023-02-18 16:24:10"
9,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IjhZWHA2cjBrQzRuU1RDRG5MdWJsZ0E9PSIsInZhbHVlIjoic3ljSDdrU0U1S1Z5N2VsRWl3QVRGUT09IiwibWFjIjoiY2EwMGIzYjRkMWU0N2M5NmQ1MTBiNDMxZDE4MGUxZWFmMzc3OGU2ODcwODRkNjQ4Zjg2NmNmODA4ZDhhNmY1NyIsInRhZyI6IiJ9","Rangkaian Restoran Ali Maju","KLIA Car Park - Level 3","Sepang Selangor",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","KLIA2 Arrival Lane, 43900 Klia, Selangor, Malaysia",101.6841228,2.7474497,"GEOMETRIC_CENTER","2023-02-18 16:24:10"
10,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IldKS0lWR29mcG5LeDBVa0hHdk00bFE9PSIsInZhbHVlIjoiUmV0bGgvNzVzNVZJMGxDVWJSd2NIdz09IiwibWFjIjoiMzdiYzYzMGQyMjlmZDFlNjNlZTVlNTNkNTYwYTI1Mjg1ZTdkOTgxNWRiNWY5Mzg1ZDhiMzhiZmU4OTM3YzQzMyIsInRhZyI6IiJ9","Rangkaian Restoran Ali Maju","KIP Sentral Kota Warisan","Sepang Selangor",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","99, Jalan Warisan Sentral 2, Kota Warisan, 43900 Sepang, Selangor, Malaysia",101.6947219,2.8220801,"ROOFTOP","2023-02-18 16:24:29"
11,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IlhBd0dYTzJhMi9xRDh1dXU3b3VIZ2c9PSIsInZhbHVlIjoiaVBENnJOWU1iZkU3SU15QkxXbEVFQT09IiwibWFjIjoiZjkyM2EzZjZiMzExNjVhMzBhNWJhOGI1M2ZhYzZmNWNkZGVlMmRmZjZjMWFlNTA2MjAzMjY0MzU2ZjY0MmQ0NSIsInRhZyI6IiJ9","D&#039;Hielo Café","Seksyen 17, Shah Alam","Petaling Selangor",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","Section 17, Shah Alam, Selangor, Malaysia",101.5058311,3.046361,"APPROXIMATE","2023-02-18 16:24:10"
12,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6InAxb0laMGZreFdtZGJPT1k0cC8zSlE9PSIsInZhbHVlIjoicjN2bVdybGNOQ0ZSTFRjRGpDZ1BXQT09IiwibWFjIjoiZGEzNzZlNjk3OGE2ZDI0ZmNiNWI4YzJiNThmZGVjMmUxN2JiNTczODA2ZDIzYzRlNzQyNzdlYTI5MzJiNWRmMCIsInRhZyI6IiJ9","Farhanah Catering","No. 45-G, Jalan Universiti Bangi 1, Taman Universiti Bangi, 43000 Kajang, Selangor","Hulu Langat Selangor",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","45, Jalan Universiti Bangi 1, Taman Universiti, 43000 Kajang, Selangor, Malaysia",101.8014555,2.9369348,"RANGE_INTERPOLATED","2023-02-18 16:24:16"
13,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6IkkrK0VaclpyNWpCWWtEWEMrZnZrWUE9PSIsInZhbHVlIjoiZjFXMndROCswRUpQSFBsY0xXWG92QT09IiwibWFjIjoiMWUxNjI4NDkyZjI3MzE1ZTVhOTJmNDY5YzM2MmVmNjYwOGJkMDM1YWNmYjljOGMwYTI0NGNiMTc0MDcxYmVlYSIsInRhZyI6IiJ9","Mios Kitchen","29B, Jalan BK 5A/2, Bandar Kinrara, 47180 Puchong, Selangor","Sepang Selangor",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","29, Jln BK 5a/2c, Bandar Kinrara 5, 47180 Puchong, Selangor, Malaysia",101.6463074,3.0469208,"RANGE_INTERPOLATED","2023-02-18 16:24:28"
14,"https://menurahmah.kpdn.gov.my/info/menu/eyJpdiI6InozRlgxTWZtR1pFRWcvclhuNmxYaXc9PSIsInZhbHVlIjoiTXhTclR5L1N6UlRZcVFTU1ZvVUVlQT09IiwibWFjIjoiYThkYmNmYjgwMGJjNDU0YzY3MTM5N2EwZWU3NDMwODU3OTkxMGYzNDgzYWRlZjE5ZmU0ZWU4YTNiZTJmZjg1MSIsInRhZyI6IiJ9","Mios Kitchen","7G, Jln Wawasan 4/1, Bandar Baru Ampang, 68000 Ampang, Selangor","Hulu Langat Selangor",,,"Restoran / Kafe","17 Feb Hingga","17 Feb 2023","7g, 4, Jln. Wawasan Ampang, Bandar Baru Ampang, 68000 Ampang, Selangor, Malaysia",101.7690244,3.1404322,"ROOFTOP","2023-02-18 16:24:25"
